fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
317,car,0.61,car_14,401,199,447,249,no,0,0,0,0,0,
317,person,0.62,person_34,643,195,674,285,no,0,0,0,0,0,
318,car,0.86,car_1,425,205,651,423,si,0.76,502,313,590,340,6694GYV
318,car,0.73,car_24,312,215,391,284,no,0,0,0,0,0,
318,car,0.60,car_14,402,199,447,249,no,0,0,0,0,0,
318,person,0.66,person_34,642,195,673,286,no,0,0,0,0,0,
319,car,0.86,car_1,423,205,651,423,si,0.73,502,313,591,340,6694GYV
319,car,0.72,car_24,315,216,392,283,no,0,0,0,0,0,
319,car,0.62,car_14,402,199,447,249,no,0,0,0,0,0,
319,person,0.62,person_34,642,195,673,285,no,0,0,0,0,0,
320,car,0.85,car_1,423,204,650,423,si,0.74,502,313,593,340,6694GYV
320,car,0.74,car_24,316,216,393,283,no,0,0,0,0,0,
320,car,0.60,car_14,402,198,448,249,no,0,0,0,0,0,
320,person,0.67,person_34,642,196,672,286,no,0,0,0,0,0,
321,car,0.86,car_1,423,205,651,423,si,0.71,502,313,591,340,6694GYV
321,car,0.74,car_24,318,217,396,283,no,0,0,0,0,0,
321,car,0.42,car_14,402,199,449,247,no,0,0,0,0,0,
321,person,0.59,person_34,642,197,671,288,no,0,0,0,0,0,
322,car,0.86,car_1,423,203,651,423,si,0.68,501,313,590,340,6694GYV
322,car,0.76,car_24,320,217,401,282,no,0,0,0,0,0,
322,car,0.53,car_14,404,199,449,247,no,0,0,0,0,0,
322,person,0.67,person_34,641,197,670,288,no,0,0,0,0,0,
323,car,0.86,car_1,424,202,650,423,si,0.65,501,313,588,340,6694GYV
323,car,0.76,car_24,321,218,399,282,no,0,0,0,0,0,
323,car,0.59,car_14,404,198,449,246,no,0,0,0,0,0,
323,person,0.58,person_34,641,198,670,288,no,0,0,0,0,0,
324,car,0.85,car_1,424,202,651,423,si,0.63,501,313,593,340,6694GYV
324,car,0.76,car_24,323,218,397,281,no,0,0,0,0,0,
324,car,0.54,car_14,404,199,449,246,no,0,0,0,0,0,
324,person,0.43,person_34,642,198,669,288,no,0,0,0,0,0,
325,car,0.86,car_1,425,203,650,424,si,0.64,501,313,596,340,6694GYV
325,car,0.76,car_24,324,219,395,280,no,0,0,0,0,0,
325,car,0.44,car_14,403,199,450,246,no,0,0,0,0,0,
325,person,0.50,person_34,641,198,668,290,no,0,0,0,0,0,
326,car,0.85,car_1,425,203,651,424,si,0.66,501,312,599,340,6694GYV
326,car,0.72,car_24,327,220,395,278,no,0,0,0,0,0,
326,person,0.51,person_34,641,199,667,282,no,0,0,0,0,0,
327,car,0.85,car_1,426,204,651,424,si,0.67,500,312,594,340,6694GYV
327,car,0.67,car_24,330,220,397,277,no,0,0,0,0,0,
328,car,0.85,car_1,427,206,651,424,si,0.65,500,312,590,340,6694GYV
328,car,0.67,car_24,332,220,399,276,no,0,0,0,0,0,
328,person,0.40,person_34,641,197,668,273,no,0,0,0,0,0,
329,car,0.85,car_1,428,206,651,424,si,0.66,500,312,588,340,6694GYV
329,car,0.67,car_24,334,220,399,276,no,0,0,0,0,0,
330,car,0.86,car_1,427,206,651,424,si,0.67,500,312,582,340,6694GYV
330,car,0.67,car_24,335,219,403,276,no,0,0,0,0,0,
330,car,0.46,car_14,405,198,450,245,no,0,0,0,0,0,
330,person,0.52,person_34,639,196,667,272,no,0,0,0,0,0,
331,car,0.85,car_1,427,207,651,423,si,0.68,500,312,588,340,6694GYV
